VideoName,ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
00170.mp4,1,53,B,2,2,2,717,582,672,411,1005,399,8,X
00170.mp4,2,86,A,2,2,1,522,403,554,378,573,576,7,X
00170.mp4,3,114,B,2,2,2,803,587,756,546,675,407,6,X
00170.mp4,4,140,A,2,1,2,801,455,711,557,1004,401,8,X
00170.mp4,5,182,B,2,2,1,850,666,820,654,713,401,7,X
00170.mp4,6,199,A,2,1,2,796,436,718,409,766,620,6,X
00170.mp4,7,219,B,2,2,2,847,603,711,584,715,414,6,X
00170.mp4,8,262,B,2,2,1,805,589,726,569,742,431,3,X
00170.mp4,9,312,B,2,1,2,428,623,604,603,1005,403,6,X
00170.mp4,10,324,B,2,1,2,423,627,558,598,642,405,6,X
00170.mp4,11,337,B,2,1,2,425,625,512,588,522,435,8,A
00171.mp4,1,39,B,2,1,2,0,0,635,326,614,343,1,X
00171.mp4,2,46,B,2,2,1,585,532,571,484,619,319,9,X
00171.mp4,3,61,A,2,2,1,0,0,602,310,557,495,6,X
00171.mp4,4,65,A,2,2,1,0,0,590,305,545,509,5,X
00171.mp4,5,85,B,2,2,1,496,500,546,449,588,309,6,X
00171.mp4,6,114,A,2,2,2,506,388,531,370,1014,318,8,X
00171.mp4,7,158,B,2,2,1,0,0,604,308,591,331,3,X
00171.mp4,8,180,A,2,2,2,513,331,559,314,560,573,6,X
00171.mp4,9,199,B,2,2,2,478,539,527,484,588,311,6,X
00171.mp4,10,245,B,1,2,1,596,568,535,505,581,297,5,X
00171.mp4,11,258,A,2,2,2,800,313,1014,317,542,587,6,X
00171.mp4,12,289,B,2,2,2,740,527,732,311,1013,318,6,X
00171.mp4,13,317,B,2,1,2,475,541,540,532,520,306,6,X
00171.mp4,14,337,B,2,2,1,718,550,635,517,688,328,6,X
00171.mp4,15,376,B,1,2,1,466,615,440,586,615,306,5,X
00171.mp4,16,397,A,2,2,2,486,321,557,307,496,575,6,X
00171.mp4,17,419,B,2,1,2,470,542,519,521,587,304,6,A
00172.mp4,1,79,B,2,1,2,683,479,679,479,675,375,1,X
00172.mp4,2,102,A,2,1,2,0,0,650,377,611,484,8,X
00172.mp4,3,118,B,2,2,2,0,0,647,503,654,382,6,X
00172.mp4,4,125,B,2,1,2,0,0,664,534,656,377,6,X
00172.mp4,5,139,B,1,2,1,1036,558,1019,558,689,373,3,X
00172.mp4,6,174,A,2,2,1,677,374,688,374,678,539,7,X
00172.mp4,7,190,B,2,1,2,586,485,581,485,658,372,6,X
00172.mp4,8,200,A,2,1,2,540,375,638,375,534,447,8,B
00173.mp4,1,14,B,2,2,2,557,576,649,559,1090,359,8,X
00173.mp4,2,53,B,2,2,2,692,546,653,527,632,398,8,X
00173.mp4,3,72,A,2,2,1,728,396,692,374,658,519,3,X
